City_ID,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed
315,krasnogorsk,RU,1528902000,55.82,37.34,69.8,75,59,13.42
316,husavik,CA,1528905479,50.56,-96.99,67.27,44,72,7.31
317,araouane,ML,1528905479,18.9,-3.53,111.46,0,15,5.75
318,tilichiki,RU,1528905480,60.47,166.1,37.93,0,88,2.62
319,bosobolo,CD,1528905481,4.19,19.88,84.19,20,70,6.42
320,villarrobledo,ES,1528905482,39.27,-2.6,76.99,0,28,12.01
321,ribeira grande,PT,1528903800,38.52,-28.7,75.2,40,83,11.41
322,shakawe,BW,1528905485,-18.36,21.84,73.93,0,23,5.19
323,nemuro,JP,1528905486,43.32,145.57,48.64,80,100,17.83
324,miramar,CR,1528902000,10.09,-84.73,80.6,0,61,3.36
325,kerman,IR,1528902000,30.29,57.06,91.4,20,5,13.87
326,davidson,US,1528905600,35.5,-80.85,78.8,40,65,4.7
327,oksfjord,NO,1528903200,70.24,22.35,46.4,40,65,10.29
328,wattegama,LK,1528905487,7.35,80.68,71.41,92,97,5.75
329,inyonga,TZ,1528905487,-6.72,32.06,79.42,0,32,3.18
330,saint george,GR,1528903200,39.45,22.34,80.6,40,54,8.05
331,jabinyanah,TN,1528902000,35.03,10.91,80.6,0,47,13.87
332,siddipet,IN,1528905488,18.1,78.85,84.1,56,58,11.68
333,praia da vitoria,PT,1528902000,38.73,-27.07,75.2,40,78,10.22
334,duluth,US,1528904100,46.77,-92.13,73.4,1,46,8.05
335,oistins,BB,1528902000,13.07,-59.53,86,20,66,25.28
336,san onofre,CO,1528905495,9.74,-75.52,86.44,0,93,5.3
337,avera,US,1528904100,33.19,-82.53,78.8,90,83,3.74
338,alizai,PK,1528905496,33.94,71.55,89.77,0,30,3.29
339,bela,PK,1528905496,26.23,66.31,93.37,36,29,10.33
340,kalas,PK,1528903800,33.49,72.96,98.6,0,25,4.97
341,gisborne,NZ,1528905498,-38.66,178.02,52.6,12,86,10.67
342,yuryevets,RU,1528905498,57.32,43.11,60.7,24,69,15.03
343,bundaberg,AU,1528905498,-24.87,152.35,64.66,88,100,12.01
344,griffith,AU,1528905499,-34.29,146.06,50.62,80,90,8.88
345,raudeberg,NO,1528903200,61.99,5.14,60.8,75,71,11.41
346,rio gallegos,AR,1528902000,-51.62,-69.22,33.8,20,86,5.82
347,antalaha,MG,1528905500,-14.9,50.28,75.01,88,85,14.14
348,houma,CN,1528905500,35.63,111.36,62.32,0,58,2.51
349,verkhoyansk,RU,1528905500,67.55,133.39,56.29,0,63,2.62
350,donskoye,RU,1528902000,45.45,41.98,80.6,0,30,6.71
351,mogadishu,SO,1528905402,2.04,45.34,78.25,64,100,22.08
352,lewistown,US,1528904100,40.39,-90.15,78.8,1,53,12.75
353,leningradskiy,RU,1528905501,69.38,178.42,33.79,0,88,21.74
354,airai,TL,1528905503,-8.93,125.41,68.98,76,93,1.72
355,nantucket,US,1528904100,41.28,-70.1,69.8,90,77,17.22
356,mount gambier,AU,1528905506,-37.83,140.78,49.72,92,81,6.87
357,katobu,ID,1528905506,-4.94,122.53,77.98,24,100,2.62
358,baiyin,CN,1528902000,36.55,104.13,60.8,0,31,4.47
359,jumla,NP,1528905507,29.28,82.18,37.75,88,95,2.51
360,voh,NC,1528905507,-20.95,164.69,71.59,8,100,14.81
361,kamaishi,JP,1528905507,39.28,141.86,53.95,0,78,12.8
362,jurm,AF,1528905508,36.86,70.83,40.09,56,100,1.61
363,la ronge,CA,1528902000,55.1,-105.3,53.6,75,76,8.05
364,paragominas,BR,1528905508,-3,-47.35,91.93,20,56,5.41
365,fairbanks,US,1528901880,64.84,-147.72,42.8,1,75,3.36
366,poum,MK,1528903800,41.28,20.71,78.8,40,47,8.05
367,boyle,IE,1528902000,53.97,-8.3,55.4,75,100,18.34
368,klaksvik,FO,1528903200,62.23,-6.59,48.2,92,93,19.46
369,aleksandro-nevskiy,RU,1528905510,53.48,40.21,74.2,0,49,9.78
370,graham,US,1528905240,36.07,-79.4,75.2,75,78,9.17
371,paraiso,MX,1528901040,24.01,-104.61,66.2,75,68,3.36
372,nishihara,JP,1528902000,35.74,139.53,69.8,75,68,3.36
373,charyshskoye,RU,1528905511,51.4,83.56,69.7,8,37,3.4
374,struer,DK,1528903200,56.48,8.6,60.8,8,63,17.22
375,hualmay,PE,1528905511,-11.1,-77.61,65.02,12,77,3.62
376,ystad,SE,1528903200,55.43,13.82,68,75,60,13.87
377,buin,CL,1528905600,-33.73,-70.74,46.4,0,65,3.36
378,gamboma,CG,1528905516,-1.87,15.88,87.34,0,64,6.53
379,bristol,GB,1528903200,51.45,-2.6,68,75,77,10.29
380,imbituba,BR,1528902000,-28.24,-48.67,69.8,40,64,3.36
381,comrie,GB,1528903200,56.09,-3.58,60.8,40,72,14.99
382,esil,KZ,1528905517,51.96,66.41,60.25,0,50,7.65
383,lompoc,US,1528904100,34.64,-120.46,62.6,1,63,2.51
384,coihaique,CL,1528902000,-45.58,-72.07,33.8,80,85,2.24
385,hamilton,BM,1528901700,32.3,-64.78,77,40,73,10.29
